"","gender","rural","dem_education_level","dem_has_children","age_group"
"397","male","urban","high","no","26_39"
"398","female","rural","medium","yes","40_65"
"399","male","urban","medium","yes","40_65"
"400","male","urban","medium","no","14_25"
"401","male","urban","low","no","14_25"
"402","female","urban","high","yes","40_65"
"403","male","urban","high","yes","40_65"
"404","female","urban","medium","yes","40_65"
"405","female","urban","medium","yes","40_65"
"406","male","urban","high","yes","40_65"
"407","female","urban","high","no","26_39"
"408","male","urban","high","yes","40_65"
"409","male","urban",NA,"yes","40_65"
"410","male","urban","high","yes","40_65"
"411","male","urban","medium","no","40_65"
"412","male","urban","high","yes","40_65"
"413","female","urban","high","no","14_25"
"414","female","urban","medium","no","14_25"
"415","male","urban","medium","yes","26_39"
"416","female","urban","high","yes","26_39"
"417","female","urban","medium","yes","26_39"
"418","female","urban","medium","yes","40_65"
"419","female","urban","high","no","14_25"
"420","male","urban","medium","yes","40_65"
"421","female","urban","high","no","14_25"
"422","female","urban","high","no","26_39"
"423","male","urban","medium","yes","40_65"
"424","female","urban","high","yes","26_39"
"425","male","urban","high","no","26_39"
"426","male","urban","high","yes","26_39"
"427","male","urban","medium","yes","40_65"
"428","female","urban","high","yes","26_39"
"429","female","urban","medium","no","14_25"
"430","male","rural","medium","yes","40_65"
"431","female","urban","high","yes","40_65"
"432","female","urban","high","yes","40_65"
"433","female","urban","medium","no","26_39"
"434","female","urban","medium","no","40_65"
"435","female","urban","medium","no","26_39"
"436","female","urban","high","yes","40_65"
"437","male","urban","medium","no","14_25"
"438","female","urban","high","yes","40_65"
"439","male","rural","no","no","14_25"
"440","female","urban","high","no","26_39"
"441","female","urban","high","yes","40_65"
"442","female","rural","high","yes","40_65"
"443","male","urban","medium","no","26_39"
"444","male","urban","medium","yes","26_39"
"445","female","urban","high","yes","40_65"
"446","male","urban","high","no","26_39"
"447","female","urban","medium","yes","40_65"
"448","female","urban","medium","no","26_39"
"449","female","urban","high","yes","40_65"
"450","male","urban","medium","no","14_25"
"451","female","urban","high","yes","26_39"
"452","male","urban","medium","yes","40_65"
"453","female","urban","high","yes","40_65"
"454","male","urban","low","no","14_25"
"455","female","urban","high","no","26_39"
"456","male","urban","high","no","26_39"
"457","male","urban","medium","yes","40_65"
"458","male","urban","low","no","14_25"
"459","male","urban","medium","yes","40_65"
"460","male","urban","medium","yes","40_65"
"461","male","urban","medium","yes","40_65"
"462","female","urban","high","yes","14_25"
"463","female","urban","low","yes","40_65"
"464","male","urban","medium","yes","26_39"
"465","female","urban","high","no","26_39"
"466","male","urban","medium","yes","40_65"
"467","male","urban","medium","no","26_39"
"468","female","urban","medium","yes","40_65"
"469","female","urban","medium","yes","40_65"
"470","male","rural","medium","yes","40_65"
"471","male","urban","medium","yes","40_65"
"472","female","urban","low","yes","40_65"
"473","male","urban","medium","yes","26_39"
"474","female","urban","medium","no","26_39"
"475","female","urban",NA,"yes","40_65"
"476","female","urban","high","yes","40_65"
"477","male","urban","medium","yes","40_65"
"478","female","rural","medium","yes","40_65"
"479","female","rural","low","yes","26_39"
"480","male","urban","medium","yes","40_65"
"481","female","urban","high","yes","40_65"
"482","female","urban","medium","no","14_25"
"483","female","urban","high","yes","40_65"
"484","female","urban","medium","yes","40_65"
"485","female","urban","medium","no","26_39"
"486","male","urban","high","no","40_65"
"487","female","urban","medium","yes","40_65"
"488","female","urban","high","yes","40_65"
"489","female","rural","medium","yes","40_65"
"490","female","urban",NA,"no","26_39"
"491","female","rural","high","no","14_25"
"492","female","urban","medium","yes","26_39"
"493","female","urban","low","no","14_25"
"494","male","rural","medium","no","14_25"
"495","male","urban","medium","yes","40_65"
"496","male","rural","medium","yes","26_39"
"497","female","urban","medium","yes","40_65"
"498","male","rural","medium","no","26_39"
"499","female","urban",NA,"yes","14_25"
"500","male","urban","medium","yes","26_39"
"501","female","rural",NA,"yes","40_65"
"502","male","rural","medium","no","14_25"
"503","female","urban","high","no","40_65"
"504","male","rural","medium","yes","40_65"
"505","male","rural","medium","yes","40_65"
"506","male","rural","high","no","40_65"
"507","female","urban","medium","yes","40_65"
"508","male","urban","low","yes","40_65"
"509","female","rural","high","yes","40_65"
"510","female","urban","medium","yes","40_65"
"511","female","rural","medium","no","40_65"
"512","female","urban","medium","yes","40_65"
"513","female","urban","medium","yes","26_39"
"514","female","rural","medium","no","14_25"
"515","female","urban","medium","yes","40_65"
"516","female","urban","low","yes","40_65"
"517","male","urban","medium","no","14_25"
"518","female","urban","medium","yes","40_65"
"519","female","urban","high","no","26_39"
"520","male","urban","high","no","26_39"
"521","female","urban","medium","no","14_25"
"522","male","rural","medium","yes","26_39"
"523","female","urban",NA,"no","14_25"
"524","female","rural","medium","yes","40_65"
"525","male","urban","medium","no","26_39"
"526","female","rural","medium","yes","40_65"
"527","male","urban","medium","yes","40_65"
"528","male","urban","high","yes","26_39"
"529","male","urban","low","no","40_65"
"530","male","urban","medium","no","40_65"
"531","male","urban","high","no","26_39"
"532","female","urban","medium","yes","14_25"
"533","male","rural","medium","no","26_39"
"534","female","urban","medium","yes","40_65"
"535","female","urban","medium","yes","40_65"
"536","female","rural","medium","yes","40_65"
"537","male","urban","medium","yes","40_65"
"538","male","rural",NA,"no","26_39"
"539","male","urban","medium","no","26_39"
"540","female","urban","medium","yes","40_65"
"541","female","urban","medium","no","14_25"
"542","female","rural","medium","yes","26_39"
"543","female","rural","low","no","26_39"
"544","male","urban","medium","yes","40_65"
"545","female","urban","high","no","40_65"
"546","male","urban","low","yes","40_65"
"547","male","urban","high","no","40_65"
"548","male","urban","medium","no","40_65"
"549","male","urban","high","no","26_39"
"550","male","urban","medium","yes","26_39"
"551","male","urban","medium","yes","40_65"
"552","male","urban","medium","no","26_39"
"553","male","urban","medium","yes","26_39"
"554","female","urban","medium","no","14_25"
"555","male","rural","high","yes","40_65"
"556","female","urban","medium","yes","40_65"
"557","female","urban","medium","yes","26_39"
"558","male","rural","medium","no","40_65"
"559","female","urban","medium","yes","40_65"
"560","male","urban","low","yes","40_65"
"561","male","urban","medium","no","14_25"
"562","male","rural","medium","yes","26_39"
"563","female","urban","high","yes","26_39"
"564","male","rural","low","no","26_39"
"565","female","rural","medium","yes","40_65"
"566","male","urban","high","yes","40_65"
"567","male","urban","medium","no","14_25"
"568","female","rural","medium","yes","26_39"
"569","female","urban","medium","yes","40_65"
"570","female","urban","high","no","26_39"
"571","male","urban","medium","no","26_39"
"572","female","urban","medium","yes","26_39"
"573","male","rural","low","no","14_25"
"574","male","urban","medium","yes","40_65"
"575","female","urban","low","yes","26_39"
"576","female","rural","medium","yes","26_39"
"577","female","urban","low","no","14_25"
"578","female","rural","medium","yes","40_65"
"579","female","urban","medium","yes","40_65"
"580","female","urban","medium","no","14_25"
"581","male","urban","medium","no","40_65"
"582","female","urban",NA,"yes","26_39"
"583","male","rural","low","no","40_65"
"584","female","urban","medium","yes","40_65"
"585","male","rural","medium","no","14_25"
"586","male","urban","medium","yes","40_65"
"587","male","urban","high","yes","40_65"
"588","female","rural","low","no","14_25"
"589","female","urban","high","yes","40_65"
"590","male","urban","medium","no","40_65"
"591","male","urban","medium","no","14_25"
"592","female","urban","high","yes","40_65"
"593","male","urban","medium","no","14_25"
"594","female","rural","medium","no","14_25"
"595","male","urban","medium","yes","40_65"
"596","female","urban","medium","yes","40_65"
"597","male","urban","high","no","26_39"
"598","male","urban","medium","yes","40_65"
"599","female","urban","high","yes","40_65"
"600","female","rural",NA,"no","40_65"
"601","male","urban","high","yes","40_65"
"602","male","urban","high","yes","40_65"
"603","male","urban",NA,"no","26_39"
"604","female","rural",NA,"no","40_65"
"605","female","urban","medium","yes","40_65"
"606","male","urban","medium","yes","40_65"
"607","female","urban","low","yes","26_39"
"608","male","urban","medium","yes","26_39"
"609","female","urban","high","no","14_25"
